[sexeducationmaterial, isassociatedwith, higherriskofcontractingSTIs],
[performersworkingforpornographicstudios, undergoregulartestingfor, STIs],
[peoplewithhigherconsumptionofpornography, areassociatedwith, greatersupportforgenderequality],
Sexualsubjectmaterial, isintendedfor, sexualarousal,
Pornography, isclassifiedas, adultcontent,
Adultcontent, canbeclassifiedas, pornographyorerotica,
Pornography, hasevolvedfrom, cavepaintings,
Cavepaintings, aredatedtobeatleast, ,yearsold,
[FannyHill, wasprosecutedandbanned, namedentitynotprovidedaprosecutedandbannedbook]
[ThomasEdison, denouncedasobscene, namedentitynotprovidedafilm]
[EugènePirou, filmedBedtimefortheBride, namedentitynotprovidedafilm]
ThesetriplesrepresentthefactsstatedinthetextwithoutanyexplicitmentionofpornographyorillegalitySocietalattitudestowardssexualityintheWesternworld, becamemorelenient, Midtwentiethcentury
Midtwentiethcentury, wasfollowedby, GoldenAgeofPorn–
BlueMovie, receivedawidetheatricalreleaseintheUnitedStates, 
GoldenAgeofPorn–, wasfollowedby, globalgrowthinthepornographybusiness
[pornography, isconsideredarecreationalactivity, socialmedia],
[pornography, isconsideredarecreationalactivity, videogames],
[pornography, isusedfor, moodmanagement],
[pornography, isusedfor, relationship],
[people, considerpornas, facilitator],
[people, considerpornas, safeoutlet],
[people, considerpornas, satisfierofsexualdesires],
[performersworkingforpornographicstudios, undergoregulartestingfor, STIs],
[peoplewithhigherconsumptionofpornography, areassociatedwith, greatersupportforgenderequality],
Deeplearning, uses, Artificialneuralnetworks,
Artificialneuralnetworks, areinspiredby, Biologicalsystems,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Computervision,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Speechrecognition,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Naturallanguageprocessing,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Machinetranslation,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Bioinformatics,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Drugdesign,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Medicalimageanalysis,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Climatescience,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Materialinspection,
Deeplearning, uses, Artificialneuralnetworks,
Artificialneuralnetworks, areinspiredby, Biologicalsystems,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Computervision,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Speechrecognition,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Naturallanguageprocessing,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Machinetranslation,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Bioinformatics,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Drugdesign,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Medicalimageanalysis,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Climatescience,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Materialinspection,
Deeplearning, uses, Artificialneuralnetworks,
Artificialneuralnetworks, areinspiredby, Biologicalsystems,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Computervision,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Speechrecognition,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Naturallanguageprocessing,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Machinetranslation,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Bioinformatics,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Drugdesign,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Medicalimageanalysis,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Climatescience,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Materialinspection,
Deeplearning, uses, Artificialneuralnetworks,
Artificialneuralnetworks, areinspiredby, Biologicalsystems,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Computervision,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Speechrecognition,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Naturallanguageprocessing,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Machinetranslation,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Bioinformatics,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Drugdesign,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Medicalimageanalysis,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Climatescience,
Deeplearning, hasproducedresultscomparabletoorsurpassinghumanexpertperformancein, Materialinspection,
Venus, hasextremetemperature, 
Venus, hashighatmosphericpressure, 
Venus, hasvolcanicactivity, 
Somescientists, areinterestedinstudying, Venus
Theauthor, arguesthat, studyingVenusisaworthypursuit
[Venus, has, extremeconditions],
[Venus, presents, dangers],
[Sobel, mentions, Magellanspacecraft],
[Magellanspacecraft, mapped, Venus],
[Venus, has, geologicalhistory],
[Sobel, mentions, Veneraspacecraftseries],
[Veneraspacecraftseries, explored, Venus],
[Data, difficulty, transmissiontoEarth],
studyingVenus, provides, valuableinsights,
planetsextremeconditions, arenotuniqueto, Venus,
studyingVenus, canhelp, searchforextraterrestriallife,
Venus, hasthepotentialtosupport, life
Earth, hasundergone, volcanicactivity
Earth, hasundergone, magneticfieldfluctuations
Earth, hasundergone, climaticchanges
Venus, has, extremetemperatures
Venus, has, atmosphericpressuretimesgreaterthanEarths
Venus, has, arunawaygreenhouseeffect
Earth, issimilarinsize, compositionandatmospheretoVenus
Venus, lacks, liquidwateronitssurface
StudyingVenus, couldprovideinsightsinto, Earthsfuture
StudyingVenus, couldhelpusbetterunderstand, theconditionsneededforlifetosurviveintheuniverse
Venus, hasathickatmospherecomposedprimarilyof, carbondioxide
Venus, hasasurfacetemperaturereachingupto, °C°F
Venus, hasbeenexploredby, Mariner
Venus, hasbeenexploredby, Magellanorbiter
NASA, planstolaunchanewspacecrafttoexploreVenus, Dragonfly
NicolausCopernicus, made_observation, Venus
SovietUnion, sent_spacecraft, Venera
SovietUnion, sent_spacecraft, Venera
NASA, launched_spacecraft, Magellan
Magellan, mapped, Venusssurface
EuropeanSpaceAgency, launched_spacecraft, VenusExpress
VenusExpress, studies, Venussatmosphere
NASA, proposes_mission, VenusNext
Venus, isthesecondplanetfromthesun, Sun
Venus, isknownasEarths‘twinplanet, Earth
Venus, hasathickanddenseatmosphere, Atmosphere
Venus, isthehottestplanetinoursolarsystem, Temperature
Venus, wasthesubjectoffascinationforcenturies, Humans
SovietUnion, launchedthefirstspacecrafttopassVenus, Venera
Magellanspacecraft, provideduswithourfirstdetailedmapofVenusssurface, Venus
EuropeanSpaceAgencyESA, launchedtheVenusExpressspacecraft, Venus
RussianFederalSpaceAgencyRoscosmos, launchedtheVenusExpressspacecraft, Venus
NASA, launchedtheVenusReconnaissanceOrbiterVRO, Venus
ESAandRoscosmos, launchedtheVenusExpressspacecraft, Venus
VRO, isequippedwithspecializedcamerasandinstruments, VRO
Scientists, studyVenustounderstandourownsolarsystem, Venus
Venus, providesauniqueopportunitytostudyextremeconditions, Scientists
Generalpublic, findsVenusamysteriousandfascinatingfrontier, Venus
FirstviewsofVenusthroughtelescopes, precededthefirstspacecraftexplorations, ExploringVenus
Venus, ismuchdenserthanEarth, Density
Venus, hasathickatmosphere, Atmosphere
Venus, iscomposedprimarilyofcarbondioxide, CarbonDioxide
Venus, hascloudsofsulfuricacid, SulfuricAcid
Venus, hasanaveragetemperatureofdegreesFahrenheit, Temperature
Venus, experiencesextremedaynightcycles, DayNightCycles
NASA, launchedthePerseverancerovertoMars, NASA
Perseverancerover, willbesenttoVenustosearchforsignsofpastlife, Venus
Venus, issimilarinsizeandcompositiontoEarth, null,
Venus, hasnearlythesamesizeandmassasEarth, null,
Venus, ismadeupofasimilarmixofrockandgasasEarth, null,
Venus, isfamousforitsextremetemperatures, null,
Venus, hastemperaturesthatcanreachuptodegreesFahrenheit, null,
Venus, hasathicklayerofcloudsofsulfuricacid, atmosphere,
atmosphere, blocksmostofthesunsrays, Venus,
Venus, hasathickatmospherethattrapsheat, null,
Venus, isbelievedtoplayacrucialroleintheformationofplanetsinthesolarsystem, null,
Venus, hasasimilargeologicalmakeuptoEarth, null,
Venus, isworthstudyingforunderstandingtheformationandevolutionofthesolarsystem, null,
Venus, isworthstudyingforbetterunderstandingthepotentialforlifeontheplanet, null,
Venus, isarichsourceofinformationforscientistsstudyingoursolarsystem, null,
Venus, isoftencalledtheEarthssisterplanet, null,
Venus, hasathickatmospherethatblocksoutmostoftheSunslight, null,
Venus, isoneofthehottestplanetsinoursolarsystem, null,
Venus, hassomeofthelargestandmostactivevolcanoesinoursolarsystem, null,
Venus, hasmountainsthatarenearlytwiceashighasEarthsMountEverest, null,
Venus, hasmysteriousrockymountainsthatcovermostoftheplanetssurface, null,
Venus, isessentialtostudyingourownplanetsclimateandgeology, null,
Venus, isclosesttothesun, Sun
Venus, hasbeenexploredthroughtelescopicobservations, telescopicobservations
Venus, hasbeenstudiedthroughspacecraftmissions, spacecraftmissions
Venus, hasadenseatmosphere, atmosphere
Scientists, havebeenstudyingVenusthroughtelescopesforcenturies, Venus
ThefirstsuccessfulmissiontoVenuswasin, tookplace, 
Magellanmission, mappedover%ofVenussurface, Venus
Orbiters, havebeeninstrumentalinprovidingscientistswithdataaboutVenus, Venus
